pageId,lang,route,canonical,title,description,schemaType,formulaId,calculationVersion,sourceRefs,glossaryTermIds,industryIds,resourceIds,productIds,dateModified,editorialStatus
aquatools,en,/tools,https://aquaverify.com/tools,AquaTools Free laboratory calculators,"Free browser-based calculators for laboratory dilutions, molarity, unit conversion, centrifuge RCF, CFU, recovery, hardness, alkalinity and nutrient species.",AquaToolsCollection,,1.0.0,,analytical-traceability|lims|matrix|plaque-assay|iso-iec-17025,,,,2026-06-22,reviewed-2026-06-22
aquatools,es,/es/herramientas,https://aquaverify.com/es/herramientas,Calculadoras de laboratorio AquaTools Free,"Calculadoras gratuitas en navegador para diluciones, molaridad, conversión de unidades, RCF de centrífuga, UFC, recuperación, dureza, alcalinidad y especies nutritivas.",AquaToolsCollection,,1.0.0,,analytical-traceability|lims|matrix|plaque-assay|iso-iec-17025,,,,2026-06-22,reviewed-2026-06-22
aquatools,fr,/fr/outils,https://aquaverify.com/fr/outils,Calculateurs de laboratoire AquaTools Free,"Calculateurs gratuits dans le navigateur pour dilutions, molarité, conversion unités, RCF centrifugeuse, UFC, récupération, dureté, alcalinité et espèces nutritives.",AquaToolsCollection,,1.0.0,,analytical-traceability|lims|matrix|plaque-assay|iso-iec-17025,,,,2026-06-22,reviewed-2026-06-22
aquatools,it,/it/strumenti,https://aquaverify.com/it/strumenti,Calcolatori di laboratorio AquaTools Free,"Calcolatori gratuiti nel browser per diluizioni, molarità, conversione unità, RCF centrifuga, UFC, recupero, durezza, alcalinità e specie nutritive.",AquaToolsCollection,,1.0.0,,analytical-traceability|lims|matrix|plaque-assay|iso-iec-17025,,,,2026-06-22,reviewed-2026-06-22
aquatools,ca,/ca/eines,https://aquaverify.com/ca/eines,Calculadores de laboratori AquaTools Free,"Calculadores gratuïtes al navegador per a dilucions, molaritat, conversió d’unitats, RCF de centrífuga, UFC, recuperació, duresa, alcalinitat i espècies nutritives.",AquaToolsCollection,,1.0.0,,analytical-traceability|lims|matrix|plaque-assay|iso-iec-17025,,,,2026-06-22,reviewed-2026-06-22
aquatool-dilution,en,/tools/dilution-calculator,https://aquaverify.com/tools/dilution-calculator,Dilution calculator,"Solve C1V1, prepare from stock or calculate serial dilution steps.",AquaTool,dilution.direct.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,matrix|analytical-traceability|lims,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-dilution,es,/es/herramientas/calculadora-diluciones,https://aquaverify.com/es/herramientas/calculadora-diluciones,Calculadora de diluciones,"Resuelve C1V1, prepara desde stock o calcula pasos de dilución seriada.",AquaTool,dilution.direct.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,matrix|analytical-traceability|lims,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-dilution,fr,/fr/outils/calculateur-dilution,https://aquaverify.com/fr/outils/calculateur-dilution,Calculateur de dilution,"Résout C1V1, prépare depuis un stock ou calcule une dilution sériée.",AquaTool,dilution.direct.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,matrix|analytical-traceability|lims,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-dilution,it,/it/strumenti/calcolatore-diluizioni,https://aquaverify.com/it/strumenti/calcolatore-diluizioni,Calcolatore diluizioni,"Risolvi C1V1, prepara da stock o calcola diluizioni seriali.",AquaTool,dilution.direct.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,matrix|analytical-traceability|lims,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-dilution,ca,/ca/eines/calculadora-dilucions,https://aquaverify.com/ca/eines/calculadora-dilucions,Calculadora de dilucions,"Resol C1V1, prepara des de stock o calcula passos de dilució seriada.",AquaTool,dilution.direct.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,matrix|analytical-traceability|lims,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-molarity,en,/tools/molarity-calculator,https://aquaverify.com/tools/molarity-calculator,Molarity calculator,"Convert mass, moles or mass concentration into mol/L, mM, µM and nM.",AquaTool,molarity.mass.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,matrix|analytical-traceability|lims,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-molarity,es,/es/herramientas/calculadora-molaridad,https://aquaverify.com/es/herramientas/calculadora-molaridad,Calculadora de molaridad,"Convierte masa, moles o concentración masa/volumen a mol/L, mM, µM y nM.",AquaTool,molarity.mass.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,matrix|analytical-traceability|lims,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-molarity,fr,/fr/outils/calculateur-molarite,https://aquaverify.com/fr/outils/calculateur-molarite,Calculateur de molarité,"Convertit masse, moles ou concentration massique en mol/L, mM, µM et nM.",AquaTool,molarity.mass.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,matrix|analytical-traceability|lims,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-molarity,it,/it/strumenti/calcolatore-molarita,https://aquaverify.com/it/strumenti/calcolatore-molarita,Calcolatore molarità,"Converte massa, moli o concentrazione massa/volume in mol/L, mM, µM e nM.",AquaTool,molarity.mass.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,matrix|analytical-traceability|lims,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-molarity,ca,/ca/eines/calculadora-molaritat,https://aquaverify.com/ca/eines/calculadora-molaritat,Calculadora de molaritat,"Converteix massa, mols o concentració massa/volum a mol/L, mM, µM i nM.",AquaTool,molarity.mass.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,matrix|analytical-traceability|lims,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-unit-converter,en,/tools/lab-unit-converter,https://aquaverify.com/tools/lab-unit-converter,Laboratory unit converter,"Convert mass, volume, moles, molarity, mass concentration and temperature units.",AquaTool,unit-converter.volume.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,analytical-traceability|lims|coa-certificate-of-analysis,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-unit-converter,es,/es/herramientas/conversor-unidades-laboratorio,https://aquaverify.com/es/herramientas/conversor-unidades-laboratorio,Conversor de unidades de laboratorio,"Convierte masa, volumen, moles, molaridad, concentración masa/volumen y temperatura.",AquaTool,unit-converter.volume.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,analytical-traceability|lims|coa-certificate-of-analysis,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
