"industryId","termIds"
"industries-hub","indicator-microorganism;matrix;sampling-point;analytical-traceability;coa-certificate-of-analysis;deviation;water-safety-plan;aquaverify-cloud"
"water-testing-labs","iso-iec-17025;iso-19458;lims;audit-trail;digital-chain-of-custody;coa-certificate-of-analysis;method-validation;method-verification;internal-quality-control;limit-of-detection-lod;pfu-plaque-forming-units"
"water-quality-control","indicator-microorganism;fecal-contamination;somatic-coliphages;escherichia-coli-e-coli;intestinal-enterococci;matrix;sampling-point;deviation;water-safety-plan;analytical-traceability"
"municipal-water-testing","drinking-water;raw-water;royal-decree-3-2023;directive-eu-2020-2184;water-safety-plan;somatic-coliphages;escherichia-coli-e-coli;total-coliforms;iso-19458;iso-9308"
"food-beverage-water-quality","process-water;cip;haccp;iso-22000;escherichia-coli-e-coli;total-coliforms;sampling-point;coa-certificate-of-analysis;kit-lot;deviation"
"industrial-process-water","process-water;biofilm;cip;reclaimed-water;wastewater;chlorination;uv-disinfection;turbidity;terminal-point;iso-5667-1;deviation"
"facility-water-risk","legionella;domestic-hot-water;aerosolization;terminal-point;biofilm;royal-decree-487-2022;iso-11731;iso-19458;water-safety-plan;deviation"
"agriculture-water","agricultural-irrigation;reclaimed-water;hydroponics;packhouse;regulation-eu-2020-741;iso-5667-1;fecal-contamination;escherichia-coli-e-coli;sampling-point;microbial-source-tracking-mst"
"pharma-cosmetics-water","purified-water;water-for-injection-wfi;gxp;alcoa-plus;21-cfr-part-11;audit-trail;electronic-signature;capa;deviation;coa-certificate-of-analysis;document-control;method-validation"
"hospitality-tourism-water","legionella;domestic-hot-water;aerosolization;royal-decree-487-2022;royal-decree-742-2013;iso-11731;iso-19458;terminal-point;biofilm;escherichia-coli-e-coli;intestinal-enterococci"
