"resourceId","tipo editorial","idioma","ruta","slug","canonical","alternates/hreflang","título SEO","H1","meta description","estado de indexación previsto","PDF asociado","existencia del archivo","idioma del PDF","estado HTTP esperado","autor","revisor","datePublished","dateModified","fuentes","DOI","estado de revisión editorial"
"resources","Technical guide","en","/resources","resources","https://aquaverify.com/resources","x-default=https://aquaverify.com/resources; en=https://aquaverify.com/resources; es=https://aquaverify.com/es/recursos; fr=https://aquaverify.com/fr/ressources; it=https://aquaverify.com/it/risorse; ca=https://aquaverify.com/ca/recursos","Water Microbiology Resources, Whitepapers and Checklists | AquaVerify","Whitepapers, guides and technical resources for water microbiology","Explore AquaVerify whitepapers, technical guides and checklists for water microbiology, coliphages, ISO/EPA workflows, LIMS evidence, products, industries, distributors and OEM programs.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"resources","Guía técnica","es","/es/recursos","recursos","https://aquaverify.com/es/recursos","x-default=https://aquaverify.com/resources; en=https://aquaverify.com/resources; es=https://aquaverify.com/es/recursos; fr=https://aquaverify.com/fr/ressources; it=https://aquaverify.com/it/risorse; ca=https://aquaverify.com/ca/recursos","Recursos de microbiología del agua, whitepapers y checklists | AquaVerify","Whitepapers, guías y recursos técnicos para microbiología del agua","Explora whitepapers, guías técnicas y checklists AquaVerify para microbiología del agua, colífagos, flujos ISO/EPA, evidencia LIMS, productos, sectores, distribuidores y programas OEM.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"resources","Guide technique","fr","/fr/ressources","ressources","https://aquaverify.com/fr/ressources","x-default=https://aquaverify.com/resources; en=https://aquaverify.com/resources; es=https://aquaverify.com/es/recursos; fr=https://aquaverify.com/fr/ressources; it=https://aquaverify.com/it/risorse; ca=https://aquaverify.com/ca/recursos","Ressources microbiologie de l’eau, whitepapers et checklists | AquaVerify","Whitepapers, guides et ressources techniques pour la microbiologie de l’eau","Explorez les whitepapers, guides techniques et checklists AquaVerify pour microbiologie de l’eau, coliphages, flux ISO/EPA, preuve LIMS, produits, secteurs, distributeurs et OEM.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"resources","Guida tecnica","it","/it/risorse","risorse","https://aquaverify.com/it/risorse","x-default=https://aquaverify.com/resources; en=https://aquaverify.com/resources; es=https://aquaverify.com/es/recursos; fr=https://aquaverify.com/fr/ressources; it=https://aquaverify.com/it/risorse; ca=https://aquaverify.com/ca/recursos","Risorse microbiologia dell’acqua, whitepaper e checklist | AquaVerify","Whitepaper, guide e risorse tecniche per la microbiologia dell’acqua","Esplora whitepaper, guide tecniche e checklist AquaVerify per microbiologia dell’acqua, colifagi, workflow ISO/EPA, evidenza LIMS, prodotti, settori, distributori e OEM.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"resources","Guia tècnica","ca","/ca/recursos","recursos","https://aquaverify.com/ca/recursos","x-default=https://aquaverify.com/resources; en=https://aquaverify.com/resources; es=https://aquaverify.com/es/recursos; fr=https://aquaverify.com/fr/ressources; it=https://aquaverify.com/it/risorse; ca=https://aquaverify.com/ca/recursos","Recursos de microbiologia de l’aigua, whitepapers i checklists | AquaVerify","Whitepapers, guies i recursos tècnics per a microbiologia de l’aigua","Explora whitepapers, guies tècniques i checklists AquaVerify per a microbiologia de l’aigua, colífags, fluxos ISO/EPA, evidència LIMS, productes, sectors, distribuïdors i OEM.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"iso-10705-2","Technical guide","en","/resources/iso-10705-2-somatic-coliphages","iso-10705-2-somatic-coliphages","https://aquaverify.com/resources/iso-10705-2-somatic-coliphages","x-default=https://aquaverify.com/resources/iso-10705-2-somatic-coliphages; en=https://aquaverify.com/resources/iso-10705-2-somatic-coliphages; es=https://aquaverify.com/es/recursos/iso-10705-2-colifagos-somaticos; fr=https://aquaverify.com/fr/ressources/iso-10705-2-coliphages-somatiques; it=https://aquaverify.com/it/risorse/iso-10705-2-colifagi-somatici; ca=https://aquaverify.com/ca/recursos/iso-10705-2-colifags-somatics","ISO 10705-2 and somatic coliphage testing","ISO 10705-2 and somatic coliphage testing","A practical resource for teams evaluating somatic coliphage workflows in water microbiology.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"iso-10705-2","Guía técnica","es","/es/recursos/iso-10705-2-colifagos-somaticos","iso-10705-2-colifagos-somaticos","https://aquaverify.com/es/recursos/iso-10705-2-colifagos-somaticos","x-default=https://aquaverify.com/resources/iso-10705-2-somatic-coliphages; en=https://aquaverify.com/resources/iso-10705-2-somatic-coliphages; es=https://aquaverify.com/es/recursos/iso-10705-2-colifagos-somaticos; fr=https://aquaverify.com/fr/ressources/iso-10705-2-coliphages-somatiques; it=https://aquaverify.com/it/risorse/iso-10705-2-colifagi-somatici; ca=https://aquaverify.com/ca/recursos/iso-10705-2-colifags-somatics","ISO 10705-2 y análisis de colífagos somáticos","ISO 10705-2 y análisis de colífagos somáticos","Recurso práctico para equipos que evalúan flujos de colífagos somáticos en microbiología del agua.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"iso-10705-2","Guide technique","fr","/fr/ressources/iso-10705-2-coliphages-somatiques","iso-10705-2-coliphages-somatiques","https://aquaverify.com/fr/ressources/iso-10705-2-coliphages-somatiques","x-default=https://aquaverify.com/resources/iso-10705-2-somatic-coliphages; en=https://aquaverify.com/resources/iso-10705-2-somatic-coliphages; es=https://aquaverify.com/es/recursos/iso-10705-2-colifagos-somaticos; fr=https://aquaverify.com/fr/ressources/iso-10705-2-coliphages-somatiques; it=https://aquaverify.com/it/risorse/iso-10705-2-colifagi-somatici; ca=https://aquaverify.com/ca/recursos/iso-10705-2-colifags-somatics","ISO 10705-2 et analyse des coliphages somatiques","ISO 10705-2 et analyse des coliphages somatiques","Ressource pratique pour les équipes évaluant les flux coliphages somatiques en microbiologie de l’eau.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"iso-10705-2","Guida tecnica","it","/it/risorse/iso-10705-2-colifagi-somatici","iso-10705-2-colifagi-somatici","https://aquaverify.com/it/risorse/iso-10705-2-colifagi-somatici","x-default=https://aquaverify.com/resources/iso-10705-2-somatic-coliphages; en=https://aquaverify.com/resources/iso-10705-2-somatic-coliphages; es=https://aquaverify.com/es/recursos/iso-10705-2-colifagos-somaticos; fr=https://aquaverify.com/fr/ressources/iso-10705-2-coliphages-somatiques; it=https://aquaverify.com/it/risorse/iso-10705-2-colifagi-somatici; ca=https://aquaverify.com/ca/recursos/iso-10705-2-colifags-somatics","ISO 10705-2 e analisi dei colifagi somatici","ISO 10705-2 e analisi dei colifagi somatici","Risorsa pratica per team che valutano flussi di colifagi somatici nella microbiologia dell’acqua.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"iso-10705-2","Guia tècnica","ca","/ca/recursos/iso-10705-2-colifags-somatics","iso-10705-2-colifags-somatics","https://aquaverify.com/ca/recursos/iso-10705-2-colifags-somatics","x-default=https://aquaverify.com/resources/iso-10705-2-somatic-coliphages; en=https://aquaverify.com/resources/iso-10705-2-somatic-coliphages; es=https://aquaverify.com/es/recursos/iso-10705-2-colifagos-somaticos; fr=https://aquaverify.com/fr/ressources/iso-10705-2-coliphages-somatiques; it=https://aquaverify.com/it/risorse/iso-10705-2-colifagi-somatici; ca=https://aquaverify.com/ca/recursos/iso-10705-2-colifags-somatics","ISO 10705-2 i anàlisi de colífags somàtics","ISO 10705-2 i anàlisi de colífags somàtics","Recurs pràctic per a equips que avaluen fluxos de colífags somàtics en microbiologia de l’aigua.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
